nohup: ignoring input
in dir=/mnt/data/lmc/ukunion
out dir=/mnt/data/lmc/ukunion_label
core graph dir=/mnt/data/lmc/ukunion_tmp
bp dir=/mnt/data/lmc/ukunion_bp
max width=200
threads=2
Load Time : 1909.091182 seconds
* #{blocks} = 10, #{vertices} = 131572430
n=13288814
0 local node=13288814, local edge cnt=532549372
1 local node=13288814, local edge cnt=723128412
2 local node=13007588, local edge cnt=945853342
3 local node=13283241, local edge cnt=1350617672
4 local node=13277110, local edge cnt=965018320
5 local node=13288814, local edge cnt=924665086
6 local node=13286643, local edge cnt=1083237178
7 local node=13227083, local edge cnt=1034440528
8 local node=13288814, local edge cnt=1015047830
9 local node=12335509, local edge cnt=736099382
0 Initializing q... 
0 t=7.86429 secs
0 Initializing E...
0 t=25.5807 secs
0 Reducing Graph...
1000001 nodes reduced, score[x]=1, remaining size=92.475% t=26.592 secs
1500003 nodes reduced, score[x]=2, remaining size=88.712% t=27.160 secs
2000004 nodes reduced, score[x]=2, remaining size=84.950% t=27.922 secs
2333338 nodes reduced, score[x]=3, remaining size=82.441% t=28.533 secs
2666672 nodes reduced, score[x]=3, remaining size=79.933% t=29.166 secs
2916675 nodes reduced, score[x]=4, remaining size=78.052% t=29.800 secs
3127896 nodes reduced, score[x]=5, remaining size=76.462% t=30.346 secs
3327898 nodes reduced, score[x]=5, remaining size=74.957% t=31.020 secs
3527899 nodes reduced, score[x]=5, remaining size=73.452% t=31.582 secs
3694566 nodes reduced, score[x]=6, remaining size=72.198% t=32.140 secs
3861233 nodes reduced, score[x]=6, remaining size=70.944% t=32.679 secs
4004091 nodes reduced, score[x]=7, remaining size=69.869% t=33.168 secs
4146950 nodes reduced, score[x]=7, remaining size=68.794% t=33.677 secs
4271952 nodes reduced, score[x]=8, remaining size=67.853% t=34.216 secs
4396953 nodes reduced, score[x]=8, remaining size=66.912% t=34.689 secs
4521954 nodes reduced, score[x]=8, remaining size=65.972% t=35.233 secs
4633066 nodes reduced, score[x]=9, remaining size=65.136% t=35.780 secs
4744179 nodes reduced, score[x]=9, remaining size=64.299% t=36.317 secs
4847745 nodes reduced, score[x]=10, remaining size=63.520% t=36.863 secs
4947746 nodes reduced, score[x]=10, remaining size=62.768% t=37.370 secs
5047747 nodes reduced, score[x]=10, remaining size=62.015% t=37.899 secs
5138661 nodes reduced, score[x]=11, remaining size=61.331% t=38.506 secs
5229571 nodes reduced, score[x]=11, remaining size=60.647% t=39.012 secs
5320481 nodes reduced, score[x]=11, remaining size=59.963% t=39.546 secs
5403818 nodes reduced, score[x]=12, remaining size=59.336% t=40.137 secs
5487152 nodes reduced, score[x]=12, remaining size=58.708% t=40.651 secs
5570486 nodes reduced, score[x]=12, remaining size=58.081% t=41.099 secs
5647410 nodes reduced, score[x]=13, remaining size=57.503% t=41.667 secs
5724334 nodes reduced, score[x]=13, remaining size=56.924% t=42.138 secs
5801258 nodes reduced, score[x]=13, remaining size=56.345% t=42.582 secs
5878184 nodes reduced, score[x]=13, remaining size=55.766% t=43.019 secs
5949613 nodes reduced, score[x]=14, remaining size=55.228% t=43.737 secs
6021042 nodes reduced, score[x]=14, remaining size=54.691% t=44.192 secs
6092471 nodes reduced, score[x]=14, remaining size=54.153% t=44.673 secs
6163901 nodes reduced, score[x]=14, remaining size=53.616% t=45.261 secs
6230568 nodes reduced, score[x]=15, remaining size=53.114% t=45.770 secs
6297236 nodes reduced, score[x]=15, remaining size=52.613% t=46.216 secs
6363904 nodes reduced, score[x]=15, remaining size=52.111% t=46.745 secs
6426405 nodes reduced, score[x]=16, remaining size=51.640% t=47.259 secs
6488907 nodes reduced, score[x]=16, remaining size=51.170% t=47.756 secs
6551408 nodes reduced, score[x]=16, remaining size=50.700% t=48.245 secs
6610232 nodes reduced, score[x]=17, remaining size=50.257% t=48.803 secs
6669058 nodes reduced, score[x]=17, remaining size=49.814% t=49.235 secs
6727882 nodes reduced, score[x]=17, remaining size=49.372% t=49.659 secs
6783438 nodes reduced, score[x]=18, remaining size=48.954% t=50.216 secs
6838994 nodes reduced, score[x]=18, remaining size=48.536% t=50.637 secs
6894550 nodes reduced, score[x]=18, remaining size=48.118% t=51.070 secs
6950107 nodes reduced, score[x]=18, remaining size=47.700% t=51.501 secs
7002739 nodes reduced, score[x]=19, remaining size=47.304% t=52.117 secs
7055372 nodes reduced, score[x]=19, remaining size=46.907% t=52.535 secs
7108005 nodes reduced, score[x]=19, remaining size=46.511% t=52.958 secs
7160638 nodes reduced, score[x]=19, remaining size=46.115% t=53.439 secs
7210640 nodes reduced, score[x]=20, remaining size=45.739% t=54.136 secs
7260641 nodes reduced, score[x]=20, remaining size=45.363% t=54.547 secs
7310642 nodes reduced, score[x]=20, remaining size=44.986% t=54.983 secs
7360644 nodes reduced, score[x]=20, remaining size=44.610% t=55.382 secs
7408264 nodes reduced, score[x]=21, remaining size=44.252% t=55.999 secs
7455886 nodes reduced, score[x]=21, remaining size=43.894% t=56.492 secs
7503506 nodes reduced, score[x]=21, remaining size=43.535% t=56.923 secs
7551126 nodes reduced, score[x]=21, remaining size=43.177% t=57.477 secs
7596581 nodes reduced, score[x]=22, remaining size=42.835% t=58.145 secs
7642036 nodes reduced, score[x]=22, remaining size=42.493% t=58.583 secs
7687491 nodes reduced, score[x]=22, remaining size=42.151% t=59.025 secs
7732951 nodes reduced, score[x]=22, remaining size=41.809% t=59.509 secs
7778407 nodes reduced, score[x]=22, remaining size=41.467% t=60.131 secs
7821886 nodes reduced, score[x]=23, remaining size=41.139% t=60.903 secs
7865366 nodes reduced, score[x]=23, remaining size=40.812% t=61.289 secs
7908845 nodes reduced, score[x]=23, remaining size=40.485% t=61.625 secs
7952324 nodes reduced, score[x]=23, remaining size=40.158% t=62.026 secs
7995803 nodes reduced, score[x]=23, remaining size=39.831% t=62.500 secs
8037471 nodes reduced, score[x]=24, remaining size=39.517% t=63.196 secs
8079143 nodes reduced, score[x]=24, remaining size=39.203% t=63.605 secs
8120810 nodes reduced, score[x]=24, remaining size=38.890% t=64.005 secs
8162477 nodes reduced, score[x]=24, remaining size=38.576% t=64.376 secs
8204144 nodes reduced, score[x]=24, remaining size=38.263% t=64.779 secs
8245811 nodes reduced, score[x]=24, remaining size=37.949% t=65.351 secs
8285812 nodes reduced, score[x]=25, remaining size=37.648% t=65.985 secs
8325813 nodes reduced, score[x]=25, remaining size=37.347% t=66.399 secs
8365814 nodes reduced, score[x]=25, remaining size=37.046% t=66.823 secs
8405815 nodes reduced, score[x]=25, remaining size=36.745% t=67.295 secs
8444277 nodes reduced, score[x]=26, remaining size=36.456% t=67.993 secs
8482739 nodes reduced, score[x]=26, remaining size=36.166% t=68.437 secs
8521201 nodes reduced, score[x]=26, remaining size=35.877% t=68.923 secs
8559663 nodes reduced, score[x]=26, remaining size=35.587% t=69.394 secs
8596701 nodes reduced, score[x]=27, remaining size=35.309% t=70.054 secs
8633742 nodes reduced, score[x]=27, remaining size=35.030% t=70.476 secs
